state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
CO,Dinosaur,325.0,40.2405,-109.0086,42083.0,18.5,78.3,95.0,0.6,2.9,0.3,8.0
CO,Durango,19662.0,37.2744,-107.8703,57024.0,13.2,95.9,85.1,0.6,6.3,0.8,12.3
CO,Eldorado Springs,750.0,39.9367,-105.2625,119115.0,4.7,100.0,92.5,0.3,0.9,1.9,4.1
CO,Englewood,34407.0,39.6468,-104.9942,47046.0,16.5,88.1,84.4,2.2,1.4,1.9,18.1
CO,Evans,20470.0,40.366,-104.7389,47791.0,16.6,76.3,76.5,0.9,1.2,0.9,43.1
CO,Federal Heights,12744.0,39.8651,-105.0154,36800.0,19.0,72.9,71.3,1.3,1.6,4.6,47.6
CO,Fort Collins,303184.0,40.5475,-105.0651,55647.0,18.6,96.0,89.0,1.2,0.6,2.9,10.1
CO,Fort Lupton,10019.0,40.0841,-104.8021,50191.0,13.5,75.1,72.1,0.6,1.6,0.9,55.0
CO,Fort Morgan,13137.0,40.2539,-103.7919,45403.0,13.6,73.8,70.3,6.1,0.9,0.7,43.3
CO,Fountain,29804.0,38.6888,-104.6829,57057.0,8.6,95.5,71.9,10.0,1.6,2.4,19.4
CO,Friendly Hills,4178.0,,,,,,,,,,
CO,Fruita,13294.0,39.154,-108.7286,55864.0,13.8,90.3,90.6,0.5,0.9,0.7,12.0
CO,Glenwood Springs,12000.0,39.5455,-107.3347,49538.0,15.4,85.2,81.4,1.2,1.0,0.8,31.5
CO,Golden,20571.0,39.7406,-105.2118,58998.0,16.8,93.9,90.6,1.2,0.6,3.8,8.2
CO,Grand Junction,136688.0,39.0877,-108.5673,45358.0,18.9,91.3,88.7,0.8,1.0,1.1,13.9
CO,Greeley,133750.0,40.4151,-104.7705,48813.0,20.2,83.6,79.1,1.7,1.2,1.3,36.0
CO,Gunnison County,4178.0,,,,,,,,,,
CO,Hanover,4178.0,,,,,,,,,,
CO,Highlands Ranch,105264.0,39.5419,-104.9708,108570.0,3.6,98.4,88.7,1.2,0.4,5.6,7.2
CO,Idaho Springs,1782.0,39.7445,-105.5,46480.0,19.1,93.7,95.0,0.4,0.8,0.5,6.0
CO,LaSalle,4178.0,,,,,,,,,,
CO,Lakewood,154958.0,39.6977,-105.1168,56954.0,11.9,91.5,82.9,1.6,1.4,3.1,22.0
CO,Larimer County,4178.0,,,,,,,,,,
CO,Lone Tree,13566.0,39.5309,-104.871,110150.0,4.2,97.9,87.2,1.6,0.3,7.2,6.2
CO,Longmont,99398.0,40.169,-105.0996,62208.0,14.1,87.3,83.3,0.9,1.0,3.2,24.6
CO,Loveland,76701.0,40.4167,-105.0622,56277.0,9.1,94.1,91.5,0.6,0.8,1.0,11.7
CO,Montrose County,4178.0,,,,,,,,,,
CO,Monument,7380.0,39.0736,-104.8468,93341.0,4.2,95.2,89.0,1.7,0.6,2.6,8.3
CO,Mountain View,537.0,39.7748,-105.0567,45714.0,10.7,82.2,80.1,0.4,2.4,0.6,28.4
CO,New Castle,5807.0,39.5785,-107.5262,66818.0,12.1,89.2,83.3,0.7,1.5,0.9,28.4
CO,North Fort Collins,4178.0,,,,,,,,,,
CO,Northglenn,38928.0,39.9107,-104.9783,55831.0,14.0,86.6,76.6,2.3,1.3,3.7,30.6
CO,Orchard Mesa,6380.0,39.0363,-108.5172,46701.0,17.9,91.5,90.5,0.5,1.5,0.5,12.2
CO,Park County,4178.0,,,,,,,,,,
CO,Parker,54202.0,39.5084,-104.7755,100469.0,4.2,98.0,90.1,1.5,0.5,3.2,8.2
CO,Pleasant View,4178.0,,,,,,,,,,
CO,Pueblo,142351.0,38.2713,-104.6105,50115.5,16.15,89.94999999999999,81.25,1.9,1.7000000000000002,0.9,36.349999999999994
CO,Rangley,4178.0,,,,,,,,,,
CO,Rifle,11038.0,39.5362,-107.772,54175.0,14.5,84.3,81.0,0.5,1.3,0.6,30.4
CO,Sedalia,161.0,39.4396,-104.9698,66094.0,22.1,100.0,91.7,2.4,1.0,0.0,10.7
CO,Springfield,1370.0,37.4049,-102.6189,33029.0,26.5,86.6,93.2,1.1,1.0,0.1,9.4
CO,Sterling,15199.0,40.6207,-103.1919,35732.0,21.4,83.7,85.0,5.9,1.6,0.7,20.9
CO,Strasburg,2888.0,39.7181,-104.3195,76875.0,4.7,92.9,93.6,0.9,0.9,0.6,6.7
CO,Thornton,136978.0,39.9205,-104.9443,66948.0,8.9,87.5,77.4,1.8,1.1,4.4,31.7
